what,kind,bundleId,bundleVersion,description,time
started,bundle,org.teiid.designer.sdt,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.sdt",1379528773069
started,bundle,org.teiid.designer.ui.common,7.6.0.v20111215-2105-H67-M5,"org.teiid.designer.ui.common",1379528773069
started,bundle,org.zeroturnaround.eclipse,1.6.2.201205021255,"org.zeroturnaround.eclipse",1379528773070
started,bundle,org.zeroturnaround.eclipse.debug,1.4.2.201205021255,"org.zeroturnaround.eclipse.debug",1379528773070
started,bundle,org.sparx.mdg.eclipse,4.0.0,"org.sparx.mdg.eclipse",1379528773071
started,bundle,org.sparx.mdg.eclipse.jdt,4.0.0,"org.sparx.mdg.eclipse.jdt",1379528773072
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1379528773073
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1379528773073
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1379528773074
started,bundle,org.tigris.subversion.clientadapter,1.8.4,"org.tigris.subversion.clientadapter",1379528773075
started,bundle,org.tigris.subversion.subclipse.core,1.8.20,"org.tigris.subversion.subclipse.core",1379528773076
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1379528773077
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1379528773077
started,bundle,org.tigris.subversion.subclipse.ui,1.8.20,"org.tigris.subversion.subclipse.ui",1379528773078
os,sysinfo,,,"win32",1379528773084
arch,sysinfo,,,"x86_64",1379528773084
ws,sysinfo,,,"win32",1379528773084
locale,sysinfo,,,"pt_BR",1379528773084
processors,sysinfo,,,"4",1379528773085
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379528773085
java.runtime.version,sysinfo,,,"1.6.0_30-b12",1379528773085
java.specification.name,sysinfo,,,"Java Platform API Specification",1379528773085
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1379528773085
java.specification.version,sysinfo,,,"1.6",1379528773085
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1379528773085
java.version,sysinfo,,,"1.6.0_30",1379528773085
java.vm.info,sysinfo,,,"mixed mode",1379528773085
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1379528773085
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379528773085
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1379528773085
java.vm.specification.version,sysinfo,,,"1.0",1379528773085
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1379528773085
java.vm.version,sysinfo,,,"20.5-b03",1379528773085
